T,Method,Result,Error
0.1,Recursive,0.178412,1.49012e-08
0.1,Pairwise,0.178412,1.49012e-08
0.1,Kahan,0.178412,0
0.1,FMA,0.178411,1.2517e-06
0.1,Double,0.178412,1.49012e-08
1,Recursive,0.56419,5.96046e-08
1,Pairwise,0.56419,0
1,Kahan,0.56419,0
1,FMA,0.564183,6.31809e-06
1,Double,0.56419,0
100,Recursive,5.6419,0
100,Pairwise,5.6419,0
100,Kahan,5.6419,0
100,FMA,5.64176,0.000137806
100,Double,5.6419,0
10000,Recursive,56.419,0
10000,Pairwise,56.419,3.8147e-06
10000,Kahan,56.419,0
10000,FMA,56.4175,0.00141525
10000,Double,56.419,0
